"filename", "language", "Go", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Shell Script", "C", "comment", "blank", "total"
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\module.go", "Go", 967, 0, 0, 0, 0, 0, 0, 19, 20, 1006
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\monotony.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\no_axis_pts_4.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\no_axis_pts_5.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\no_axis_pts_x.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\no_axis_pts_y.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\no_axis_pts_z.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\no_of_interfaces.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\no_rescale_x.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\number.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\offset_4.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\offset_5.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\offset_x.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\offset_y.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
